ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
030081000,245500,29322318,1114,PRESTON AVE,,LOT,22215.6
030091000,148200,29322319,1112,PRESTON AVE,,LOT 1 TINSLEY TOWN,8842.68
030082000,33400,29322320,0,PRESTON AVE,,LOT 5,9757.44
030127000,197400,29322321,1109,PRESTON AVE,,LOT 11,12545.28
030125000,12191100,29322322,814-828,CABELL AVE,,"LOTS 1-4,7,8,REVISED 6",0
030124000,286900,29322323,1105,PRESTON AVE,,PT LOT 12 JEFFERIES ADDITION,12763.08
030090000,207100,29322324,1108,PRESTON AVE,,PT LOT 2 TINSLEY TOWN,6403.32
030093200,203100,29322325,1102,PRESTON AVE,A&B,LOT 2,7797.24
030093000,298300,29322326,1104,PRESTON AVE,,RESERVED AREA,16901.28
030123000,745900,29322327,839,MADISON AVE,,PT LOTS 13 & 14,0
030093100,353300,29322328,1100,PRESTON AVE,A&B,LOT 1,9321.84
030089000,272000,29322329,1106,PRESTON AVE,A&B,LOT 3 & PT 7 TINSLEY TOWN,13764.96
030125200,15360800,29322330,704,MADISON AVE,,RESIDUE  HAYES GARDENS,0
030118000,3607600,29322331,1015,PRESTON AVE,,LOTS,67953.6
030114000,171400,29322332,712,12TH ST NW,,LOT 14,3528.36
030113000,168200,29322333,708,12TH ST NW,,LOT 13 PARK HEIGHTS,6359.76
040009000,183500,29322334,609,13TH ST NW,,LOT 1 BK 38 PRESTON HEIGHTS,5619.24
030110000,204700,29322335,705,12TH ST NW,,LOT 20 PARK HEIGHTS,4094.64
040002000,406600,29322336,606,14TH ST NW,,LOT 8 & PT 7 BK 38 PRESTON HGT,8015.04
030112000,194700,29322337,706,12TH ST NW,,LOT 12 PARK HEIGHTS,6403.32
030096000,212500,29322338,1011,PRESTON AVE,,LOT A,6926.04
030103000,75100,29322339,216,ROSSER AVE E,,LOT 6 PARK HEIGHTS,7318.08
030102000,176900,29322340,214,ROSSER AVE E,,LOT 5 PARK HEIGHTS,7318.08
030101000,57300,29322341,212,ROSSER AVE E,,LOT 4 PARK HEIGHTS,6882.48
040008000,229100,29322342,603,13TH ST NW,,LOT 2&Y BK 38 PRESTON HEIGHTS,5793.48
030100000,114600,29322343,208,ROSSER AVE E,,LOT 3 PARK HEIGHTS,5488.56
030099000,139000,29322344,229,ROSSER AVE E,,LOT 2 PARK HEIGHTS,4704.48
030098000,164400,29322345,228,ROSSER AVE E,,LOT 1 PARK HEIGHTS,4965.84
030109000,259200,29322346,703,12TH ST NW,,LOT 19 PARK HEIGHTS,4399.56
030111000,161600,29322347,704,12TH ST NW,,LOT 11 PARK HEIGHTS,5401.44
040003000,411200,29322348,604,14TH ST NW,,LOT 9 BK 38 PRESTON HEIGHTS,6490.44
040010000,248700,29322349,608,13TH ST NW,,LOT 9 & PT 10 BK 37 PRESTON HG,7230.96
030104000,144900,29322350,218,ROSSER AVE E,,LOT 7 PARK HEIGHTS,5706.36
030097000,281900,29322351,227,ROSSER AVE E,,LOT A,9147.6
040005000,273100,29322352,1305,GRADY AVE,,LOT 3 BK 38 PRESTON HEIGHTS,6272.64
030107000,214800,29322353,0,ROSSER AVE E,,LOT 10 PARK HEIGHTS,4007.52
040006000,62400,29322354,0,GRADY AVE,,PT LOT 2 BK 38 PRESTON HGTS,4573.8
030106000,135800,29322355,1111,ROSSER AVE E,,LOT 9 PARK HEIGHTS,4007.52
030108000,158500,29322356,1201,ROSSER AVE E,,LOT 18 PARK HEIGHTS,3136.32
030105000,129800,29322357,1113,ROSSER AVE E,,LOT 8 PARK HEIGHTS,4007.52
040004000,223900,29322358,600,14TH ST NW,,LOT 10 BK 38 PRESTON HEIGHTS,6490.44
040007100,275100,29322359,605,13TH ST NW,,PT LOTS 1&2 BK 38 PRESTON HGTS,3441.24
040015000,277000,29322360,1207,GRADY AVE,,PT LOT 1-8&19 BK 37 PREST HGT,7840.8
