,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
15840,18025,240174000,2015-10-21,78000,,758 ORANGEDALE AVE,Single Family Attached,38.0222369,-78.496964,8
15843,18028,240175000,2000-08-29,61500,,756 ORANGEDALE AVE,Single Family Attached,38.022318,-78.4969069,8
15846,18031,240177000,2002-11-22,43549,,752 ORANGEDALE AVE,Single Family Attached,38.022473,-78.496788,8
15852,18037,240178000,2016-05-10,94500,,750 ORANGEDALE AVE,Single Family Attached,38.022549,-78.49673,8
15853,18038,240178000,2016-09-12,110000,,750 ORANGEDALE AVE,Single Family Attached,38.022549,-78.49673,8
15856,18041,240179000,2014-05-29,73000,,748 ORANGEDALE AVE,Single Family Attached,38.022626,-78.496668,8
15857,18042,240179000,2008-06-27,24866,,748 ORANGEDALE AVE,Single Family Attached,38.022626,-78.496668,8
15858,18043,240179000,2013-03-19,116100,,748 ORANGEDALE AVE,Single Family Attached,38.022626,-78.496668,8
15861,18046,240180000,2017-09-21,139500,,746 ORANGEDALE AVE,Single Family Attached,38.022705,-78.49661,8
15865,18050,240181000,2006-12-28,135000,,744 ORANGEDALE AVE,Single Family Attached,38.022784,-78.496549,8
15868,18053,240181000,2015-09-01,112000,,744 ORANGEDALE AVE,Single Family Attached,38.022784,-78.496549,8
15869,18054,240181000,2014-10-15,40309,,744 ORANGEDALE AVE,Single Family Attached,38.022784,-78.496549,8
15878,18063,240183000,2003-08-25,82500,,740 ORANGEDALE AVE,Single Family Attached,38.022938,-78.496431,8
15879,18064,240183000,2000-06-30,48500,,740 ORANGEDALE AVE,Single Family Attached,38.022938,-78.496431,8
15885,18070,240187000,2018-12-21,125000,,732 ORANGEDALE AVE,Single Family Attached,38.023255,-78.496195,8
15892,18077,240190000,2014-07-08,119000,,726 ORANGEDALE AVE,Single Family Attached,38.023484,-78.49601899999999,8
15893,18078,240190000,2010-11-18,88000,,726 ORANGEDALE AVE,Single Family Attached,38.023484,-78.49601899999999,8
15895,18080,240190000,2011-03-04,59830,,726 ORANGEDALE AVE,Single Family Attached,38.023484,-78.49601899999999,8
15897,18082,240191000,2002-04-09,53000,,724 ORANGEDALE AVE,Single Family Attached,38.023508299999996,-78.4959938,8
15910,18095,240194000,2003-08-04,70000,,718 ORANGEDALE AVE,Single Family Attached,38.023788,-78.49578199999999,8
15912,18097,240194000,2017-11-08,97000,,718 ORANGEDALE AVE,Single Family Attached,38.023788,-78.49578199999999,8
15923,18108,240198000,2004-08-02,105000,,710 ORANGEDALE AVE,Single Family Attached,38.024133,-78.495514,8
15925,18110,240198000,2014-10-24,81000,,710 ORANGEDALE AVE,Single Family Attached,38.024133,-78.495514,8
15938,18123,240202000,2020-01-10,60000,,702 ORANGEDALE AVE,Single Family Attached,38.0245578,-78.4953612,8
15939,18124,240202000,2016-04-15,83750,,702 ORANGEDALE AVE,Single Family Attached,38.0245578,-78.4953612,8
15941,18126,240202000,2009-05-08,97000,,702 ORANGEDALE AVE,Single Family Attached,38.0245578,-78.4953612,8
15942,18127,240202000,2018-10-26,140860,,702 ORANGEDALE AVE,Single Family Attached,38.0245578,-78.4953612,8
15976,18156,240210000,2017-08-14,136600,,713 ORANGEDALE AVE,Single Family Attached,38.024291,-78.496072,8
15988,18168,240215000,2017-06-07,112000,,723 ORANGEDALE AVE,Single Family Attached,38.023891,-78.4963719,8
15995,18175,240217000,2005-11-04,270000,,727 ORANGEDALE AVE,Single Family Attached,38.023727,-78.49649699999999,8
15996,18176,240217000,2002-07-10,52000,,727 ORANGEDALE AVE,Single Family Attached,38.023727,-78.49649699999999,8
15999,18179,240218000,2009-11-19,70000,,729 ORANGEDALE AVE,Single Family Attached,38.023641,-78.49655600000001,8
16004,18184,240219000,2015-08-28,120000,,731 ORANGEDALE AVE,Single Family Attached,38.023558,-78.49661800000001,8
16008,18189,240220000,2002-10-11,58000,,733 ORANGEDALE AVE,Single Family Attached,38.023478999999995,-78.496675,8
16011,18192,240220000,2020-01-31,70000,,733 ORANGEDALE AVE,Single Family Attached,38.023478999999995,-78.496675,8
16018,18199,240221000,2018-03-23,146000,,735 ORANGEDALE AVE,Single Family Attached,38.023401,-78.496742,8
16019,18200,240221000,2017-06-08,67095,,735 ORANGEDALE AVE,Single Family Attached,38.023401,-78.496742,8
16020,18201,240221000,2002-03-29,61950,,735 ORANGEDALE AVE,Single Family Attached,38.023401,-78.496742,8
